Unnamed: 0,PROVISIONAL,BUQUE,IMO,FECHA_ETA,HORA_ETA,FECHA_ETD,HORA_ETD,TXTNUMIMO,TXTESLORA,TXTMANGA,TXTVELMAX,TXTCALADO
522,anon_provisional_633,anon_buque_634,anon_imo_178,09/22/2021 00:00:00,01/01/1900 15:00:00,10/03/2021 00:00:00,01/01/1900 12:00:00,anon_imo_178,28.0,6.49,,
523,anon_provisional_633,anon_buque_634,anon_imo_178,09/22/2021 00:00:00,01/01/1900 15:00:00,10/03/2021 00:00:00,01/01/1900 12:00:00,anon_imo_178,19.0,6.0,,2.0
524,anon_provisional_635,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 21:00:00,07/22/2021 00:00:00,01/01/1900 00:00:00,anon_imo_178,23.89,6.6,10.0,3.3
525,anon_provisional_635,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 21:00:00,07/22/2021 00:00:00,01/01/1900 00:00:00,anon_imo_178,30.0,14.3,,
526,anon_provisional_635,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 21:00:00,07/22/2021 00:00:00,01/01/1900 00:00:00,anon_imo_178,28.06,6.7,,
527,anon_provisional_635,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 21:00:00,07/22/2021 00:00:00,01/01/1900 00:00:00,anon_imo_178,32.22,14.93,0.0,2.0
528,anon_provisional_635,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 21:00:00,07/22/2021 00:00:00,01/01/1900 00:00:00,anon_imo_178,23.5,8.54,,
529,anon_provisional_635,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 21:00:00,07/22/2021 00:00:00,01/01/1900 00:00:00,anon_imo_178,27.0,3.0,,
530,anon_provisional_635,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 21:00:00,07/22/2021 00:00:00,01/01/1900 00:00:00,anon_imo_178,30.81,7.8,,2.48
531,anon_provisional_635,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 21:00:00,07/22/2021 00:00:00,01/01/1900 00:00:00,anon_imo_178,34.0,7.65,,2.77
532,anon_provisional_635,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 21:00:00,07/22/2021 00:00:00,01/01/1900 00:00:00,anon_imo_178,28.0,6.49,,
533,anon_provisional_635,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 21:00:00,07/22/2021 00:00:00,01/01/1900 00:00:00,anon_imo_178,19.0,6.0,,2.0
534,anon_provisional_637,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 22:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,23.89,6.6,10.0,3.3
535,anon_provisional_637,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 22:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,30.0,14.3,,
536,anon_provisional_637,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 22:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,28.06,6.7,,
537,anon_provisional_637,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 22:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,32.22,14.93,0.0,2.0
538,anon_provisional_637,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 22:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,23.5,8.54,,
539,anon_provisional_637,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 22:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,27.0,3.0,,
540,anon_provisional_637,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 22:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,30.81,7.8,,2.48
541,anon_provisional_637,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 22:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,34.0,7.65,,2.77
542,anon_provisional_637,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 22:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,28.0,6.49,,
543,anon_provisional_637,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 22:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,19.0,6.0,,2.0
544,anon_provisional_638,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 23:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,23.89,6.6,10.0,3.3
545,anon_provisional_638,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 23:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,30.0,14.3,,
546,anon_provisional_638,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 23:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,28.06,6.7,,
547,anon_provisional_638,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 23:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,32.22,14.93,0.0,2.0
548,anon_provisional_638,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 23:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,23.5,8.54,,
549,anon_provisional_638,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 23:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,27.0,3.0,,
550,anon_provisional_638,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 23:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,30.81,7.8,,2.48
551,anon_provisional_638,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 23:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,34.0,7.65,,2.77
552,anon_provisional_638,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 23:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,28.0,6.49,,
553,anon_provisional_638,anon_buque_636,anon_imo_178,07/17/2021 00:00:00,01/01/1900 23:00:00,07/22/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,19.0,6.0,,2.0
554,anon_provisional_639,anon_buque_636,anon_imo_178,12/21/2021 00:00:00,01/01/1900 19:00:00,02/01/2022 00:00:00,01/01/1900 08:00:00,anon_imo_178,23.89,6.6,10.0,3.3
555,anon_provisional_639,anon_buque_636,anon_imo_178,12/21/2021 00:00:00,01/01/1900 19:00:00,02/01/2022 00:00:00,01/01/1900 08:00:00,anon_imo_178,30.0,14.3,,
556,anon_provisional_639,anon_buque_636,anon_imo_178,12/21/2021 00:00:00,01/01/1900 19:00:00,02/01/2022 00:00:00,01/01/1900 08:00:00,anon_imo_178,28.06,6.7,,
557,anon_provisional_639,anon_buque_636,anon_imo_178,12/21/2021 00:00:00,01/01/1900 19:00:00,02/01/2022 00:00:00,01/01/1900 08:00:00,anon_imo_178,32.22,14.93,0.0,2.0
558,anon_provisional_639,anon_buque_636,anon_imo_178,12/21/2021 00:00:00,01/01/1900 19:00:00,02/01/2022 00:00:00,01/01/1900 08:00:00,anon_imo_178,23.5,8.54,,
559,anon_provisional_639,anon_buque_636,anon_imo_178,12/21/2021 00:00:00,01/01/1900 19:00:00,02/01/2022 00:00:00,01/01/1900 08:00:00,anon_imo_178,27.0,3.0,,
560,anon_provisional_639,anon_buque_636,anon_imo_178,12/21/2021 00:00:00,01/01/1900 19:00:00,02/01/2022 00:00:00,01/01/1900 08:00:00,anon_imo_178,30.81,7.8,,2.48
